recipe_tag	coefficient
bias	0.3173044487195925
alfredo	0.0707690384562078
almond	0.2757652908457547
american	0.0158803806457214
appetizer	0.014159238076857233
appetizers	0.025855137666577516
apple	-0.03688035241517826
asiancuisine	-0.038764028063928875
asparagus	-0.03238661211675872
avocado	0.014487006491021436
bacon	0.019714900913884517
baked	0.025210466044909664
bakeddishes	-0.05137849062573487
bakery	0.001921566245184064
baking	-0.02080505062545132
beans	0.019134319457005444
beef	0.009251475589266624
bellpeppers	-0.006674259154670666
berries	-0.0429821718258753
blackbeans	-0.006674259154670666
blackvinegar	-0.02487236388525565
blueberry	-0.005691683740895126
boiledeggs	0.004628531602932559
bokchoy	0.004628531602932559
braided	-0.029076246876913642
bread	-0.004422412241057355
breaded	0.04825297825459198
breakfast	-0.01161796971882173
breakfastpastry	0.020034209336142722
brioche	-0.03733937839518667
broiling	0.027259730568115977
brownies	-0.015532400291019986
brownsugar	-0.01634427107802384
brunch	0.0014771762015849468
burger	-0.01599809197604229
burritos	0.03688287762706631
buttery	0.08398163185031104
cake	0.0009856724618899325
carrots	0.004628531602932559
casserole	-0.022982772538825632
celebration	-0.013087977871579155
cheese	-0.014310865126486182
cheesy	-0.018562672889100504
cherry	-0.0196291353075565
chicken	0.2035961764096772
chickpeas	-0.01599809197604229
chilioil	0.03629362274769196
chilipowder	-0.006674259154670666
chinese	0.021096445913690514
chinesecookingwine	0.06116598663294761
chinesecuisine	-0.03781313078414262
chocolate	-0.24053794079472887
chocolatechip	0.162331287922464
chocolatecroissant	0.020034209336142722
christmas	0.00528579561852305
cilantro	0.06476985406468667
cinnamon	0.052919022866694546
citrus	0.016435475865157072
classic	0.00401497539878469
cloves	-0.006047844449782662
cobbler	0.08144996181782976
cocoapowder	-0.015860957778316597
coffee	-0.03417579499625283
cold	0.021096445913690514
coldnoodles	0.029236822625181486
comfortfood	0.06739145803735863
condiment	0.025265715641430937
cookies	0.06255421589550199
corn	-0.013087977871579155
cranberry	0.012187943039953866
creamcheese	-0.023750528823620876
creamy	0.04833358707104656
crisp	-0.016484045853803808
crispy	0.18203845518003073
croissant	-0.03417579499625283
croissants	-0.06340375402850422
crumble	-0.0053795390486906305
crust	-0.006047844449782662
cucumber	0.029236822625181486
cumin	-0.006674259154670666
cupcakes	-0.06672940598623284
custard	-0.05007146842133528
custardy	0.08627113040653701
customizable	-0.023598295021932243
danish	-0.023750528823620876
dashibroth	0.01630512433637538
dates	-0.02943162521419183
decadent	0.01916352431618704
dessert	0.0405185193196739
dinner	0.05321321347160071
dip	-0.011272962009677362
donuts	0.026176779744810648
easterneuropean	-0.029076246876913642
easy	0.08774335336781422
easydinner	-0.018763123137222195
egg	0.018378158615395452
eggs	0.0067526051546257515
eggwhites	0.0008620763741024066
fajitaseasoning	-0.03331531889463594
fall	-0.007586089465940935
familyfriendly	-0.04174589567604783
fastfood	0.04825297825459198
fetacheese	-0.017557981594433565
filling	-0.05665621195686854
fingerfood	0.06265443707607482
flaky	0.1695655735008703
french	0.0216748885499985
frenchcuisine	-0.01285692461205764
frenchpastry	-0.012220019414926047
fresh	0.050296108589996835
fried	0.09493837038561789
friedfood	-0.04055927773676441
friedrice	-0.0330579169349363
fries	-0.04192775665947908
frosting	-0.0657437335243429
fruit	0.023059667644970833
fudgy	0.04823977119310068
gamedayfood	0.0080267380629776
ganache	0.01684663024020653
garlic	0.04774038307759845
ginger	0.06116598663294761
glutenfree	-0.05465546967231362
goldenbrown	-0.042394172240371744
greenbeans	0.03270522904501634
greenonion	-0.013425603555349155
greenonions	0.041511409229998866
grill	-0.01599809197604229
grilled	0.022315255292761627
grilling	0.027259730568115977
groundbeef	-0.02123481999806548
gruyere	0.05607314685111811
gruyerecheese	0.08008823486545288
guacamole	-0.02085525859230116
hamandcheese	-0.023750528823620876
hamburger	-0.015969044945048916
handheld	-0.023598295021932243
handtorndough	-0.021760735901176824
hawaii	-0.015969044945048916
hawaiian	-0.005421361037671631
healthy	-0.04356166422278694
herbs	0.026380390595010357
holiday	-0.007802182253056105
homemade	0.14245717879222208
indulgent	-0.06672940598623284
italian	0.01823862753027347
italiancuisine	0.0707690384562078
jalapenos	-0.04192775665947908
japanesecuisine	0.009060532166870477
juicy	0.0711310398493639
ketchup	-0.015969044945048916
keto	0.03864410834458336
kidfriendly	0.06265443707607482
koreancuisine	-0.021760735901176824
laminateddough	0.001921566245184064
lasagna	0.16694431236214766
lattice	-0.006047844449782662
lettuce	0.0043288473583215255
lime	0.003603867431739062
loadednachos	0.04995449472245668
lowcarb	0.03864410834458336
lunch	0.05321321347160071
macandcheese	-0.03793754333549045
maple	0.026176779744810648
maplesyrup	0.00026491732896570216
masa	-0.013087977871579155
mayonnaise	-0.015969044945048916
meal	0.04825297825459198
mealprep	-0.01585603496149672
meat	-0.027335899198432927
meatsauce	0.018613633548390254
mexican	-0.024466294850891426
mexicancuisine	0.009472695675705755
mexicanfood	0.04995449472245668
middleeastern	-0.048432127170486054
miso	0.004628531602932559
muffins	-0.01585603496149672
mushroom	0.22582929293796578
mushrooms	0.004628531602932559
nachos	-0.023444119295231693
noodles	-0.0156490417440026
noodlesoup	0.004628531602932559
nori	-0.005421361037671631
numbing	0.048225219734060645
nutmeg	-0.022392115527806504
oat	-0.01304120348930201
oats	-0.02324641849945466
onion	0.019407365297859892
onions	-0.039989578049306605
onthego	-0.005421361037671631
oven	0.020034209336142722
oysters	-0.08367192599110879
pacificislands	-0.015969044945048916
pancakes	0.00026491732896570216
parmesan	0.05607314685111811
partyfood	0.005646040066848426
pasta	0.032456489102600544
pastasauce	0.018613633548390254
pastry	-9.004797510669266e-05
pastrycrust	-0.006182895541084137
peach	0.25941665656332974
peanutbutter	-0.06541517603704629
peanutdressing	-0.08142645424445952
peanuts	-0.02487236388525565
peppers	-0.03331531889463594
pickledvegetables	0.022423249814070106
pie	0.009832536195938737
piecrust	-0.017557981594433565
pork	-0.02487236388525565
porkbelly	0.004628531602932559
potatoes	0.03688287762706631
protein	-0.01585603496149672
puffpastry	0.020034209336142722
quiche	0.046487604773043714
quick	-0.05419842113936097
ramen	0.004628531602932559
refreshing	-0.019943350910732828
relish	0.016435475865157072
rhubarb	-0.019943350910732828
rice	-0.005421361037671631
ricevinegar	-0.013425603555349155
rich	0.01916352431618704
ricotta	-0.043382888625488926
salad	-0.05454522320913485
salsa	0.032614647069386535
salty	-0.03793754333549045
sandwich	0.018378158615395452
sauce	-0.011149680246634023
savory	-0.030766241103594376
scallions	0.03629362274769196
scallops	0.03828430023781054
seafood	-0.039888631086359094
sesame	0.021096445913690514
sesameoil	-0.013425603555349155
sesameseeds	-0.013425603555349155
shrimp	0.027259730568115977
sichuancuisine	0.02335285584880499
sichuanpeppercorns	0.03629362274769196
sidedish	0.033647924732160175
sidedishes	0.03270522904501634
skewers	0.027259730568115977
smoky	0.00013557957893715195
snack	0.003251830272493511
snacks	-0.009222527614462739
sobanoodles	-0.038764028063928875
soft	-0.042394172240371744
souffle	-0.020875876084936996
soup	-0.033633859673614284
sourcream	-0.02009828635033474
southern	0.11695947777110767
southerncuisine	-0.08367192599110879
soysauce	-0.005561366139660934
spam	-0.021390405982720545
spices	0.026380390595010357
spicy	0.008193600143321864
spicyfood	0.043112648254344375
spinach	-0.03841576500462868
spring	0.05118665657103339
steamed	-0.013087977871579155
stirfry	-0.012940766898886968
strawberry	-0.019943350910732828
streetfood	-0.03262862930436522
stuffedpeppers	0.043112648254344375
summer	0.003527042653978435
sushi	-0.005421361037671631
sweet	-0.005670789893727098
sweetandsalty	-0.09977707202696202
sweetandsavory	0.02644169707377635
sweettreat	-0.01414158566011011
taco	0.020492486413291905
tacos	0.01580349786612083
tangy	-0.014657555292209778
tart	-0.011149680246634023
tea	-0.03417579499625283
tempura	0.01630512433637538
tender	0.005858806014220237
texmex	-0.03331531889463594
thanksgiving	0.00528579561852305
toast	0.018378158615395452
tomato	0.030102654557299328
tomatoes	-0.02847212917950357
tomatosauce	0.018814083796511945
tortilla	-0.006674259154670666
tortillabowl	0.020492486413291905
tortillachips	0.00638874462203276
tortillas	0.0035675587324303717
traditional	-0.013087977871579155
twisted	-0.029076246876913642
udonnoodles	0.01630512433637538
vanilla	0.0008620763741024066
vanillaicecream	-0.02324641849945466
vegan	0.016222941923200302
vegetables	-0.0036319962650797344
vegetarian	0.032277208778632605
warm	0.020034209336142722
whippedcream	-0.02324641849945466
winter	-0.007586089465940935
yeastdough	-0.029076246876913642
